Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
AMD,120,0.052055,1.1335,0.6236,Call,1
AMD,125,0.052055,1.0439,0.6496,Call,1
AMD,135,0.052055,0.9751,0.7016,Call,3
AMD,140,0.052055,0.9687,0.7275,Call,2
AMD,145,0.052055,0.8897,0.7535,Call,2
AMD,150,0.052055,0.8693,0.7795,Call,50
AMD,155,0.052055,0.8261,0.8055,Call,4
AMD,160,0.052055,0.7890,0.8315,Call,5
AMD,165,0.052055,0.7181,0.8575,Call,32
AMD,170,0.052055,0.7607,0.8834,Call,59
AMD,175,0.052055,0.7411,0.9094,Call,16
AMD,180,0.052055,0.7157,0.9354,Call,21
AMD,185,0.052055,0.6977,0.9614,Call,61
AMD,190,0.052055,0.6639,0.9874,Call,131
AMD,195,0.052055,0.6367,1.0134,Call,401
AMD,200,0.052055,0.6212,1.0393,Call,326
AMD,205,0.052055,0.6043,1.0653,Call,355
AMD,210,0.052055,0.5942,1.0913,Call,416
AMD,215,0.052055,0.5858,1.1173,Call,260
AMD,220,0.052055,0.5794,1.1433,Call,422
AMD,225,0.052055,0.5806,1.1693,Call,210
AMD,230,0.052055,0.5768,1.1952,Call,303
AMD,235,0.052055,0.5815,1.2212,Call,322
AMD,240,0.052055,0.5858,1.2472,Call,343
AMD,245,0.052055,0.5929,1.2732,Call,155
AMD,250,0.052055,0.6039,1.2992,Call,121
AMD,255,0.052055,0.6144,1.3252,Call,14
AMD,260,0.052055,0.6293,1.3511,Call,18
AMD,265,0.052055,0.6580,1.3771,Call,2
AMD,270,0.052055,0.6585,1.4031,Call,15
AMD,275,0.052055,0.6725,1.4291,Call,18
AMD,280,0.052055,0.6822,1.4551,Call,6
AMD,285,0.052055,0.7009,1.4811,Call,5
AMD,290,0.052055,0.7011,1.5070,Call,41
AMD,295,0.052055,0.7266,1.5330,Call,5
AMD,300,0.052055,0.7306,1.5590,Call,20
AMD,305,0.052055,0.7374,1.5850,Call,1
AMD,120,0.052055,1.0879,0.6236,Put,10
AMD,125,0.052055,1.0476,0.6496,Put,27
AMD,130,0.052055,1.0111,0.6756,Put,19
AMD,135,0.052055,0.9766,0.7016,Put,47
AMD,140,0.052055,0.9437,0.7275,Put,31
AMD,145,0.052055,0.9151,0.7535,Put,35
AMD,150,0.052055,0.8808,0.7795,Put,404
AMD,155,0.052055,0.8456,0.8055,Put,135
AMD,160,0.052055,0.8120,0.8315,Put,2880
AMD,165,0.052055,0.7847,0.8575,Put,398
AMD,170,0.052055,0.7564,0.8834,Put,224
AMD,175,0.052055,0.7293,0.9094,Put,151
AMD,180,0.052055,0.7059,0.9354,Put,337
AMD,185,0.052055,0.6832,0.9614,Put,94
AMD,190,0.052055,0.6610,0.9874,Put,232
AMD,195,0.052055,0.6331,1.0134,Put,229
AMD,200,0.052055,0.6212,1.0393,Put,149
AMD,205,0.052055,0.6233,1.0653,Put,90
AMD,210,0.052055,0.6240,1.0913,Put,13
AMD,215,0.052055,0.6146,1.1173,Put,15
AMD,220,0.052055,0.6041,1.1433,Put,22
AMD,225,0.052055,0.5929,1.1693,Put,18
AMD,230,0.052055,0.6175,1.1952,Put,12
AMD,235,0.052055,0.6271,1.2212,Put,30
AMD,240,0.052055,0.6157,1.2472,Put,2
AMD,245,0.052055,0.6873,1.2732,Put,2
AMD,250,0.052055,0.6827,1.2992,Put,7
AMD,255,0.052055,0.6983,1.3252,Put,1
AMD,260,0.052055,0.7925,1.3511,Put,1
AMD,265,0.052055,0.7914,1.3771,Put,25
AMD,270,0.052055,0.8422,1.4031,Put,2
AMD,275,0.052055,0.8752,1.4291,Put,50
AMD,290,0.052055,0.9864,1.5070,Put,165
AMD,300,0.052055,1.0568,1.5590,Put,1
AMD,310,0.052055,1.1247,1.6110,Put,2
AMD,315,0.052055,1.1577,1.6370,Put,0
