Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
COIN,125,0.052055,0.9924,0.6338,Call,6
COIN,130,0.052055,0.9106,0.6592,Call,1
COIN,135,0.052055,1.1399,0.6845,Call,2
COIN,145,0.052055,0.7902,0.7352,Call,4
COIN,150,0.052055,0.8295,0.7606,Call,3
COIN,155,0.052055,0.8308,0.7859,Call,3
COIN,160,0.052055,0.7555,0.8113,Call,4
COIN,165,0.052055,0.9417,0.8366,Call,6
COIN,170,0.052055,0.8109,0.8620,Call,26
COIN,175,0.052055,0.8049,0.8873,Call,4
COIN,180,0.052055,0.8143,0.9127,Call,21
COIN,185,0.052055,0.7821,0.9380,Call,13
COIN,190,0.052055,0.7999,0.9634,Call,15
COIN,195,0.052055,0.7494,0.9887,Call,102
COIN,200,0.052055,0.7529,1.0141,Call,71
COIN,205,0.052055,0.7571,1.0394,Call,95
COIN,210,0.052055,0.7417,1.0648,Call,74
COIN,215,0.052055,0.7506,1.0902,Call,62
COIN,220,0.052055,0.7490,1.1155,Call,137
COIN,225,0.052055,0.7467,1.1409,Call,34
COIN,230,0.052055,0.7531,1.1662,Call,427
COIN,235,0.052055,0.7521,1.1916,Call,14
COIN,240,0.052055,0.7492,1.2169,Call,67
COIN,245,0.052055,0.7725,1.2423,Call,10
COIN,250,0.052055,0.7818,1.2676,Call,40
COIN,255,0.052055,0.7893,1.2930,Call,15
COIN,260,0.052055,0.8266,1.3183,Call,15
COIN,265,0.052055,0.8050,1.3437,Call,24
COIN,270,0.052055,0.8247,1.3690,Call,18
COIN,275,0.052055,0.8520,1.3944,Call,6
COIN,280,0.052055,0.8868,1.4197,Call,54
COIN,285,0.052055,0.8857,1.4451,Call,5
COIN,290,0.052055,0.9331,1.4704,Call,55
COIN,295,0.052055,0.9288,1.4958,Call,5
COIN,300,0.052055,0.9528,1.5211,Call,5
COIN,310,0.052055,0.9279,1.5718,Call,4
COIN,315,0.052055,0.9438,1.5972,Call,120
COIN,125,0.052055,1.1598,0.6338,Put,1
COIN,130,0.052055,1.0054,0.6592,Put,16
COIN,135,0.052055,1.0154,0.6845,Put,47
COIN,140,0.052055,1.0242,0.7099,Put,114
COIN,145,0.052055,0.9897,0.7352,Put,45
COIN,150,0.052055,0.9556,0.7606,Put,55
COIN,155,0.052055,0.9393,0.7859,Put,12
COIN,160,0.052055,0.9226,0.8113,Put,815
COIN,165,0.052055,0.8926,0.8366,Put,15
COIN,170,0.052055,0.8736,0.8620,Put,158
COIN,175,0.052055,0.8561,0.8873,Put,64
COIN,180,0.052055,0.8234,0.9127,Put,142
COIN,185,0.052055,0.8130,0.9380,Put,101
COIN,190,0.052055,0.8124,0.9634,Put,28
COIN,195,0.052055,0.7932,0.9887,Put,45
COIN,200,0.052055,0.7509,1.0141,Put,346
COIN,205,0.052055,0.7727,1.0394,Put,25
COIN,210,0.052055,0.7657,1.0648,Put,14
COIN,215,0.052055,0.7809,1.0902,Put,2
COIN,220,0.052055,0.7225,1.1155,Put,4
COIN,225,0.052055,0.7849,1.1409,Put,1
COIN,230,0.052055,0.7525,1.1662,Put,2
COIN,235,0.052055,0.8254,1.1916,Put,2
COIN,240,0.052055,0.8014,1.2169,Put,6
COIN,245,0.052055,0.8861,1.2423,Put,5
COIN,250,0.052055,0.8983,1.2676,Put,6
COIN,255,0.052055,0.8453,1.2930,Put,56
COIN,260,0.052055,0.8309,1.3183,Put,1
COIN,270,0.052055,0.9622,1.3690,Put,9
COIN,275,0.052055,0.8860,1.3944,Put,0
COIN,280,0.052055,0.9342,1.4197,Put,2
COIN,285,0.052055,1.0274,1.4451,Put,1
COIN,300,0.052055,1.0633,1.5211,Put,1
