Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
GLD,370,0.013699,1.2152,0.7814,Call,6
GLD,375,0.013699,1.0981,0.7920,Call,3
GLD,380,0.013699,0.9548,0.8025,Call,2
GLD,385,0.013699,1.0098,0.8131,Call,1
GLD,390,0.013699,0.8937,0.8236,Call,7
GLD,395,0.013699,0.8628,0.8342,Call,2
GLD,400,0.013699,0.9127,0.8448,Call,1
GLD,405,0.013699,0.8453,0.8553,Call,2
GLD,410,0.013699,0.7786,0.8659,Call,12
GLD,415,0.013699,0.7170,0.8764,Call,1
GLD,420,0.013699,0.6910,0.8870,Call,3
GLD,425,0.013699,0.6437,0.8976,Call,2
GLD,430,0.013699,0.5693,0.9081,Call,11
GLD,431,0.013699,0.5552,0.9102,Call,1
GLD,433,0.013699,0.5967,0.9144,Call,0
GLD,435,0.013699,0.5684,0.9187,Call,34
GLD,436,0.013699,0.5434,0.9208,Call,2
GLD,438,0.013699,0.5288,0.9250,Call,1
GLD,439,0.013699,0.5327,0.9271,Call,2
GLD,440,0.013699,0.5331,0.9292,Call,3
GLD,441,0.013699,0.5373,0.9313,Call,2
GLD,442,0.013699,0.5094,0.9335,Call,1
GLD,443,0.013699,0.5218,0.9356,Call,1
GLD,444,0.013699,0.5159,0.9377,Call,2
GLD,445,0.013699,0.4909,0.9398,Call,7
GLD,446,0.013699,0.5011,0.9419,Call,3
GLD,447,0.013699,0.4962,0.9440,Call,3
GLD,448,0.013699,0.4739,0.9461,Call,5
GLD,449,0.013699,0.4854,0.9482,Call,5
GLD,450,0.013699,0.4614,0.9503,Call,30
GLD,451,0.013699,0.4782,0.9525,Call,4
GLD,452,0.013699,0.4545,0.9546,Call,1
GLD,453,0.013699,0.4627,0.9567,Call,4
GLD,454,0.013699,0.4423,0.9588,Call,12
GLD,455,0.013699,0.4536,0.9609,Call,65
GLD,456,0.013699,0.4301,0.9630,Call,5
GLD,457,0.013699,0.4673,0.9651,Call,10
GLD,458,0.013699,0.4493,0.9672,Call,22
GLD,459,0.013699,0.4466,0.9694,Call,15
GLD,460,0.013699,0.4432,0.9715,Call,86
GLD,461,0.013699,0.4232,0.9736,Call,52
GLD,462,0.013699,0.4294,0.9757,Call,75
GLD,463,0.013699,0.4192,0.9778,Call,58
GLD,464,0.013699,0.4237,0.9799,Call,66
GLD,465,0.013699,0.4272,0.9820,Call,107
