Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
GOOGL,245,0.032877,0.4892,0.8207,Call,13
GOOGL,250,0.032877,0.4404,0.8375,Call,50
GOOGL,255,0.032877,0.4973,0.8542,Call,11
GOOGL,260,0.032877,0.4270,0.8710,Call,84
GOOGL,265,0.032877,0.4293,0.8877,Call,59
GOOGL,270,0.032877,0.4546,0.9045,Call,33
GOOGL,275,0.032877,0.4702,0.9212,Call,55
GOOGL,280,0.032877,0.4273,0.9380,Call,27
GOOGL,285,0.032877,0.4556,0.9547,Call,37
GOOGL,287.5,0.032877,0.4257,0.9631,Call,41
GOOGL,290,0.032877,0.4154,0.9715,Call,116
GOOGL,292.5,0.032877,0.4070,0.9798,Call,47
GOOGL,295,0.032877,0.3975,0.9882,Call,434
GOOGL,297.5,0.032877,0.4122,0.9966,Call,602
GOOGL,300,0.032877,0.3808,1.0050,Call,1624
GOOGL,302.5,0.032877,0.3787,1.0133,Call,408
GOOGL,305,0.032877,0.3674,1.0217,Call,962
GOOGL,307.5,0.032877,0.3621,1.0301,Call,181
GOOGL,310,0.032877,0.3555,1.0385,Call,5099
GOOGL,312.5,0.032877,0.3624,1.0468,Call,152
GOOGL,315,0.032877,0.3483,1.0552,Call,848
GOOGL,317.5,0.032877,0.3413,1.0636,Call,172
GOOGL,320,0.032877,0.3449,1.0720,Call,3025
GOOGL,322.5,0.032877,0.3367,1.0803,Call,209
GOOGL,325,0.032877,0.3517,1.0887,Call,724
GOOGL,327.5,0.032877,0.3538,1.0971,Call,136
GOOGL,330,0.032877,0.3515,1.1055,Call,950
GOOGL,332.5,0.032877,0.3544,1.1138,Call,41
GOOGL,335,0.032877,0.3588,1.1222,Call,284
GOOGL,337.5,0.032877,0.3643,1.1306,Call,20
GOOGL,340,0.032877,0.3681,1.1390,Call,500
GOOGL,345,0.032877,0.3828,1.1557,Call,190
GOOGL,350,0.032877,0.3981,1.1725,Call,863
GOOGL,355,0.032877,0.4061,1.1892,Call,6
GOOGL,360,0.032877,0.4274,1.2059,Call,114
GOOGL,365,0.032877,0.4373,1.2227,Call,123
GOOGL,370,0.032877,0.4386,1.2394,Call,19
GOOGL,375,0.032877,0.4771,1.2562,Call,26
GOOGL,380,0.032877,0.4782,1.2729,Call,26
GOOGL,385,0.032877,0.5185,1.2897,Call,51
GOOGL,390,0.032877,0.5132,1.3064,Call,1
GOOGL,400,0.032877,0.5425,1.3399,Call,11
GOOGL,410,0.032877,0.6219,1.3734,Call,6
GOOGL,420,0.032877,0.6396,1.4069,Call,1
GOOGL,205,0.032877,0.7426,0.6867,Put,14
GOOGL,210,0.032877,0.7501,0.7035,Put,56
GOOGL,215,0.032877,0.7045,0.7202,Put,13
GOOGL,220,0.032877,0.6795,0.7370,Put,14
GOOGL,225,0.032877,0.6597,0.7537,Put,113
GOOGL,230,0.032877,0.6438,0.7705,Put,52
GOOGL,235,0.032877,0.6321,0.7872,Put,92
GOOGL,240,0.032877,0.6175,0.8040,Put,21
GOOGL,245,0.032877,0.5994,0.8207,Put,50
