Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
IWM,246,0.008219,0.4577,0.9805,Call,111
IWM,248,0.008219,0.4611,0.9885,Call,376
IWM,250,0.008219,0.4333,0.9965,Call,495
IWM,255,0.008219,0.3898,1.0164,Call,2826
IWM,256,0.008219,0.3810,1.0204,Call,1975
IWM,257,0.008219,0.3719,1.0244,Call,1516
IWM,259,0.008219,0.3575,1.0323,Call,3830
IWM,260,0.008219,0.3441,1.0363,Call,1473
IWM,261,0.008219,0.3415,1.0403,Call,967
IWM,262,0.008219,0.3299,1.0443,Call,1678
IWM,263,0.008219,0.3224,1.0483,Call,2498
IWM,264,0.008219,0.3159,1.0523,Call,1264
IWM,265,0.008219,0.3175,1.0562,Call,241
IWM,266,0.008219,0.3086,1.0602,Call,167
IWM,267,0.008219,0.2958,1.0642,Call,62
IWM,268,0.008219,0.3112,1.0682,Call,613
IWM,270,0.008219,0.3417,1.0762,Call,169
IWM,235,0.008219,0.5940,0.9367,Put,5035
IWM,236,0.008219,0.5798,0.9407,Put,1034
IWM,240,0.008219,0.5504,0.9566,Put,330
IWM,241,0.008219,0.5468,0.9606,Put,201
IWM,242,0.008219,0.5393,0.9646,Put,946
IWM,244,0.008219,0.5235,0.9725,Put,860
IWM,245,0.008219,0.5180,0.9765,Put,2132
IWM,246,0.008219,0.5104,0.9805,Put,6309
IWM,247,0.008219,0.5019,0.9845,Put,2992
IWM,248,0.008219,0.4959,0.9885,Put,2225
IWM,249,0.008219,0.4851,0.9925,Put,950
IWM,250,0.008219,0.4785,0.9965,Put,2358
IWM,251,0.008219,0.4708,1.0004,Put,7487
IWM,252,0.008219,0.4622,1.0044,Put,538
IWM,253,0.008219,0.4516,1.0084,Put,1645
IWM,254,0.008219,0.4438,1.0124,Put,192
IWM,255,0.008219,0.4371,1.0164,Put,217
IWM,256,0.008219,0.4302,1.0204,Put,43
IWM,257,0.008219,0.3803,1.0244,Put,14
IWM,258,0.008219,0.3689,1.0283,Put,9
IWM,259,0.008219,0.4827,1.0323,Put,76
IWM,260,0.008219,0.4993,1.0363,Put,26
IWM,261,0.008219,0.5079,1.0403,Put,2
IWM,262,0.008219,0.5179,1.0443,Put,35
IWM,263,0.008219,0.5292,1.0483,Put,13
IWM,264,0.008219,0.3013,1.0523,Put,6
IWM,265,0.008219,0.2860,1.0562,Put,36
IWM,266,0.008219,0.2614,1.0602,Put,5
IWM,267,0.008219,0.3881,1.0642,Put,5
IWM,268,0.008219,0.4330,1.0682,Put,1
