Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
META,545,0.013699,0.6539,0.8451,Call,0
META,555,0.013699,0.6802,0.8607,Call,45
META,560,0.013699,0.6650,0.8684,Call,1
META,565,0.013699,0.5576,0.8762,Call,1
META,570,0.013699,0.7075,0.8839,Call,3
META,575,0.013699,0.6162,0.8917,Call,24
META,580,0.013699,0.6450,0.8994,Call,14
META,585,0.013699,0.6201,0.9072,Call,72
META,590,0.013699,0.6068,0.9149,Call,11
META,595,0.013699,0.5838,0.9227,Call,5
META,600,0.013699,0.5813,0.9304,Call,25
META,605,0.013699,0.5812,0.9382,Call,2
META,607.5,0.013699,0.5381,0.9421,Call,1
META,610,0.013699,0.5461,0.9459,Call,116
META,612.5,0.013699,0.5452,0.9498,Call,3
META,615,0.013699,0.5354,0.9537,Call,54
META,617.5,0.013699,0.5166,0.9576,Call,6
META,620,0.013699,0.5247,0.9614,Call,46
META,622.5,0.013699,0.5318,0.9653,Call,3
META,625,0.013699,0.5003,0.9692,Call,14
META,627.5,0.013699,0.5074,0.9731,Call,13
META,630,0.013699,0.4999,0.9770,Call,252
META,632.5,0.013699,0.4781,0.9808,Call,57
META,635,0.013699,0.4698,0.9847,Call,1089
META,637.5,0.013699,0.4784,0.9886,Call,424
META,640,0.013699,0.4565,0.9925,Call,1064
META,642.5,0.013699,0.4520,0.9963,Call,399
META,645,0.013699,0.4485,1.0002,Call,1665
META,647.5,0.013699,0.4367,1.0041,Call,840
META,650,0.013699,0.4365,1.0080,Call,3224
META,652.5,0.013699,0.4254,1.0118,Call,316
META,655,0.013699,0.4286,1.0157,Call,611
META,657.5,0.013699,0.4214,1.0196,Call,1139
META,660,0.013699,0.4158,1.0235,Call,1233
META,662.5,0.013699,0.4110,1.0274,Call,307
META,665,0.013699,0.4041,1.0312,Call,1380
META,667.5,0.013699,0.4043,1.0351,Call,351
META,670,0.013699,0.3974,1.0390,Call,1917
META,672.5,0.013699,0.3940,1.0429,Call,438
META,675,0.013699,0.3928,1.0467,Call,781
META,677.5,0.013699,0.3883,1.0506,Call,1029
META,680,0.013699,0.3820,1.0545,Call,1013
META,682.5,0.013699,0.3800,1.0584,Call,268
META,685,0.013699,0.3840,1.0622,Call,1911
META,687.5,0.013699,0.3783,1.0661,Call,500
META,690,0.013699,0.3798,1.0700,Call,1253
META,692.5,0.013699,0.3787,1.0739,Call,382
META,695,0.013699,0.3896,1.0778,Call,603
META,697.5,0.013699,0.3810,1.0816,Call,253
META,700,0.013699,0.3857,1.0855,Call,2257
META,702.5,0.013699,0.3843,1.0894,Call,152
META,705,0.013699,0.3895,1.0933,Call,189
META,707.5,0.013699,0.3946,1.0971,Call,54
META,710,0.013699,0.3985,1.1010,Call,218
META,715,0.013699,0.4160,1.1088,Call,90
META,720,0.013699,0.4269,1.1165,Call,112
META,725,0.013699,0.4516,1.1243,Call,110
META,730,0.013699,0.4538,1.1320,Call,403
META,732.5,0.013699,0.4874,1.1359,Call,6
META,735,0.013699,0.4435,1.1398,Call,108
META,740,0.013699,0.4890,1.1475,Call,114
META,745,0.013699,0.4838,1.1553,Call,51
META,750,0.013699,0.4951,1.1630,Call,139
META,760,0.013699,0.5050,1.1786,Call,513
META,805,0.013699,0.6520,1.2483,Call,2
META,505,0.013699,0.8772,0.7831,Put,63
META,510,0.013699,0.8635,0.7909,Put,157
META,515,0.013699,0.8174,0.7986,Put,53
META,520,0.013699,0.7708,0.8064,Put,404
META,525,0.013699,0.7633,0.8141,Put,78
META,530,0.013699,0.7704,0.8219,Put,195
META,535,0.013699,0.7475,0.8296,Put,55
META,540,0.013699,0.7425,0.8374,Put,177
META,545,0.013699,0.7408,0.8451,Put,16
META,550,0.013699,0.7135,0.8529,Put,89
META,555,0.013699,0.6957,0.8607,Put,58
META,560,0.013699,0.6835,0.8684,Put,108
META,562.5,0.013699,0.6739,0.8723,Put,28
META,565,0.013699,0.6743,0.8762,Put,217
META,570,0.013699,0.6674,0.8839,Put,457
META,572.5,0.013699,0.6645,0.8878,Put,35
META,575,0.013699,0.6475,0.8917,Put,96
META,580,0.013699,0.6346,0.8994,Put,571
META,582.5,0.013699,0.6384,0.9033,Put,46
META,585,0.013699,0.6219,0.9072,Put,141
META,587.5,0.013699,0.6191,0.9111,Put,57
META,590,0.013699,0.6166,0.9149,Put,358
META,592.5,0.013699,0.6082,0.9188,Put,28
META,595,0.013699,0.6041,0.9227,Put,163
META,597.5,0.013699,0.5932,0.9266,Put,330
META,600,0.013699,0.5916,0.9304,Put,1921
META,602.5,0.013699,0.5814,0.9343,Put,122
META,605,0.013699,0.5689,0.9382,Put,288
META,607.5,0.013699,0.5633,0.9421,Put,124
META,610,0.013699,0.5513,0.9459,Put,773
META,612.5,0.013699,0.5514,0.9498,Put,208
META,615,0.013699,0.5549,0.9537,Put,1093
META,617.5,0.013699,0.5345,0.9576,Put,208
META,620,0.013699,0.5219,0.9614,Put,761
META,622.5,0.013699,0.5131,0.9653,Put,360
META,625,0.013699,0.5048,0.9692,Put,1110
META,627.5,0.013699,0.5061,0.9731,Put,139
META,630,0.013699,0.4950,0.9770,Put,874
META,632.5,0.013699,0.4930,0.9808,Put,121
META,635,0.013699,0.4775,0.9847,Put,805
META,637.5,0.013699,0.4680,0.9886,Put,340
META,640,0.013699,0.4683,0.9925,Put,1274
META,642.5,0.013699,0.4528,0.9963,Put,621
META,645,0.013699,0.4452,1.0002,Put,1441
META,647.5,0.013699,0.4426,1.0041,Put,321
META,650,0.013699,0.4459,1.0080,Put,642
META,652.5,0.013699,0.4307,1.0118,Put,167
META,655,0.013699,0.4280,1.0157,Put,567
META,657.5,0.013699,0.4227,1.0196,Put,105
META,660,0.013699,0.4154,1.0235,Put,343
META,662.5,0.013699,0.4257,1.0274,Put,52
META,665,0.013699,0.3916,1.0312,Put,77
META,667.5,0.013699,0.3880,1.0351,Put,9
META,670,0.013699,0.3937,1.0390,Put,82
META,672.5,0.013699,0.4093,1.0429,Put,6
META,675,0.013699,0.4079,1.0467,Put,25
META,677.5,0.013699,0.4276,1.0506,Put,51
META,680,0.013699,0.4305,1.0545,Put,80
META,685,0.013699,0.4364,1.0622,Put,12
META,690,0.013699,0.4397,1.0700,Put,20
META,695,0.013699,0.4242,1.0778,Put,1
META,697.5,0.013699,0.4071,1.0816,Put,1
META,700,0.013699,0.4451,1.0855,Put,15
META,705,0.013699,0.4864,1.0933,Put,2
META,710,0.013699,0.4964,1.1010,Put,2
META,712.5,0.013699,0.5078,1.1049,Put,2
META,715,0.013699,0.5254,1.1088,Put,1
META,720,0.013699,0.5539,1.1165,Put,1
META,725,0.013699,0.4900,1.1243,Put,400
META,730,0.013699,0.5085,1.1320,Put,1
META,735,0.013699,0.5397,1.1398,Put,1
META,740,0.013699,0.6189,1.1475,Put,1
META,745,0.013699,0.6243,1.1553,Put,2
META,750,0.013699,0.6377,1.1630,Put,1
META,760,0.013699,0.6859,1.1786,Put,7
META,765,0.013699,0.7096,1.1863,Put,2
META,770,0.013699,0.7454,1.1941,Put,1
META,790,0.013699,0.8316,1.2251,Put,12
