Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
PLTR,100,0.052055,1.2641,0.6363,Call,1
PLTR,105,0.052055,1.1242,0.6681,Call,3
PLTR,110,0.052055,1.0128,0.6999,Call,6
PLTR,115,0.052055,0.9666,0.7317,Call,1
PLTR,120,0.052055,0.9229,0.7636,Call,4
PLTR,125,0.052055,0.8301,0.7954,Call,2
PLTR,130,0.052055,0.7760,0.8272,Call,52
PLTR,135,0.052055,0.6830,0.8590,Call,270
PLTR,140,0.052055,0.6804,0.8908,Call,267
PLTR,145,0.052055,0.6414,0.9226,Call,2530
PLTR,150,0.052055,0.6188,0.9544,Call,1002
PLTR,155,0.052055,0.5965,0.9863,Call,1590
PLTR,160,0.052055,0.5784,1.0181,Call,4546
PLTR,165,0.052055,0.5626,1.0499,Call,1755
PLTR,170,0.052055,0.5522,1.0817,Call,3306
PLTR,175,0.052055,0.5438,1.1135,Call,1737
PLTR,180,0.052055,0.5389,1.1453,Call,1182
PLTR,185,0.052055,0.5410,1.1771,Call,373
PLTR,190,0.052055,0.5449,1.2090,Call,458
PLTR,195,0.052055,0.5534,1.2408,Call,108
PLTR,200,0.052055,0.5644,1.2726,Call,525
PLTR,205,0.052055,0.5790,1.3044,Call,35
PLTR,210,0.052055,0.5994,1.3362,Call,37
PLTR,215,0.052055,0.6111,1.3680,Call,46
PLTR,220,0.052055,0.6242,1.3998,Call,15
PLTR,230,0.052055,0.6664,1.4635,Call,10
PLTR,235,0.052055,0.6849,1.4953,Call,1
PLTR,240,0.052055,0.6895,1.5271,Call,1
PLTR,250,0.052055,0.7232,1.5907,Call,25
PLTR,100,0.052055,1.0327,0.6363,Put,313
PLTR,105,0.052055,0.9768,0.6681,Put,148
PLTR,110,0.052055,0.9264,0.6999,Put,220
PLTR,115,0.052055,0.8752,0.7317,Put,396
PLTR,120,0.052055,0.8261,0.7636,Put,905
PLTR,125,0.052055,0.7803,0.7954,Put,512
PLTR,130,0.052055,0.7384,0.8272,Put,539
PLTR,135,0.052055,0.7015,0.8590,Put,384
PLTR,140,0.052055,0.6708,0.8908,Put,922
PLTR,145,0.052055,0.6446,0.9226,Put,600
PLTR,150,0.052055,0.6226,0.9544,Put,670
PLTR,155,0.052055,0.6010,0.9863,Put,1351
PLTR,160,0.052055,0.5837,1.0181,Put,348
PLTR,165,0.052055,0.5709,1.0499,Put,129
PLTR,170,0.052055,0.5604,1.0817,Put,19
PLTR,175,0.052055,0.5570,1.1135,Put,2
PLTR,180,0.052055,0.5548,1.1453,Put,58
PLTR,185,0.052055,0.5572,1.1771,Put,12
PLTR,190,0.052055,0.5701,1.2090,Put,65
PLTR,195,0.052055,0.5898,1.2408,Put,15
PLTR,200,0.052055,0.5441,1.2726,Put,1
PLTR,205,0.052055,0.6613,1.3044,Put,2
PLTR,230,0.052055,0.9182,1.4635,Put,3
