Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
QCOM,100,0.052055,0.6902,0.7370,Call,1
QCOM,120,0.052055,0.5081,0.8844,Call,1
QCOM,125,0.052055,0.5071,0.9212,Call,2
QCOM,130,0.052055,0.4506,0.9581,Call,2
QCOM,135,0.052055,0.4239,0.9949,Call,3
QCOM,140,0.052055,0.4078,1.0318,Call,35
QCOM,145,0.052055,0.3720,1.0686,Call,39
QCOM,150,0.052055,0.3543,1.1055,Call,38
QCOM,155,0.052055,0.3916,1.1423,Call,27
QCOM,160,0.052055,0.3855,1.1792,Call,4
QCOM,165,0.052055,0.5140,1.2160,Call,14
QCOM,195,0.052055,0.8844,1.4371,Call,1
QCOM,110,0.052055,0.6303,0.8107,Put,5
QCOM,115,0.052055,0.6058,0.8475,Put,1
QCOM,120,0.052055,0.5244,0.8844,Put,1
QCOM,125,0.052055,0.4960,0.9212,Put,31
QCOM,130,0.052055,0.4407,0.9581,Put,6
QCOM,135,0.052055,0.4333,0.9949,Put,21
QCOM,140,0.052055,0.4039,1.0318,Put,22
QCOM,145,0.052055,0.3861,1.0686,Put,12
QCOM,150,0.052055,0.4244,1.1055,Put,6
QCOM,155,0.052055,0.4454,1.1423,Put,2
QCOM,160,0.052055,0.4596,1.1792,Put,1
QCOM,165,0.052055,0.5478,1.2160,Put,0
QCOM,170,0.052055,0.6562,1.2529,Put,56
