Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
QQQ,580,0.008219,0.4134,0.9671,Call,1
QQQ,585,0.008219,0.4183,0.9754,Call,3
QQQ,590,0.008219,0.4099,0.9837,Call,124
QQQ,595,0.008219,0.3895,0.9921,Call,118
QQQ,600,0.008219,0.3664,1.0004,Call,1438
QQQ,601,0.008219,0.3582,1.0021,Call,944
QQQ,603,0.008219,0.3515,1.0054,Call,2406
QQQ,604,0.008219,0.3466,1.0071,Call,3650
QQQ,605,0.008219,0.3389,1.0088,Call,6896
QQQ,606,0.008219,0.3376,1.0104,Call,711
QQQ,607,0.008219,0.3320,1.0121,Call,744
QQQ,608,0.008219,0.3239,1.0138,Call,470
QQQ,609,0.008219,0.3182,1.0154,Call,270
QQQ,610,0.008219,0.3086,1.0171,Call,5082
QQQ,611,0.008219,0.3059,1.0188,Call,507
QQQ,612,0.008219,0.3019,1.0204,Call,1608
QQQ,613,0.008219,0.2932,1.0221,Call,298
QQQ,614,0.008219,0.2881,1.0238,Call,631
QQQ,615,0.008219,0.2813,1.0254,Call,1441
QQQ,616,0.008219,0.2759,1.0271,Call,931
QQQ,617,0.008219,0.2713,1.0288,Call,1003
QQQ,618,0.008219,0.2655,1.0304,Call,528
QQQ,619,0.008219,0.2530,1.0321,Call,880
QQQ,620,0.008219,0.2536,1.0338,Call,1346
QQQ,621,0.008219,0.2487,1.0354,Call,831
QQQ,622,0.008219,0.2390,1.0371,Call,792
QQQ,623,0.008219,0.2377,1.0388,Call,341
QQQ,624,0.008219,0.2331,1.0404,Call,203
QQQ,625,0.008219,0.2281,1.0421,Call,659
QQQ,626,0.008219,0.2248,1.0438,Call,585
QQQ,631,0.008219,0.2272,1.0521,Call,121
QQQ,500,0.008219,0.8351,0.8337,Put,27
QQQ,505,0.008219,0.8149,0.8420,Put,5
QQQ,515,0.008219,0.7695,0.8587,Put,31
QQQ,520,0.008219,0.7489,0.8670,Put,23
QQQ,525,0.008219,0.6965,0.8754,Put,384
QQQ,530,0.008219,0.6663,0.8837,Put,34
QQQ,535,0.008219,0.6460,0.8920,Put,61
QQQ,540,0.008219,0.6220,0.9004,Put,125
QQQ,545,0.008219,0.5938,0.9087,Put,82
QQQ,550,0.008219,0.5661,0.9170,Put,375
QQQ,555,0.008219,0.5437,0.9254,Put,31
QQQ,560,0.008219,0.5207,0.9337,Put,379
QQQ,565,0.008219,0.5032,0.9421,Put,97
QQQ,570,0.008219,0.4879,0.9504,Put,694
QQQ,575,0.008219,0.4720,0.9587,Put,345
QQQ,576,0.008219,0.4686,0.9604,Put,256
QQQ,577,0.008219,0.4655,0.9621,Put,188
QQQ,578,0.008219,0.4656,0.9637,Put,314
QQQ,579,0.008219,0.4585,0.9654,Put,288
QQQ,580,0.008219,0.4551,0.9671,Put,833
QQQ,581,0.008219,0.4521,0.9687,Put,186
QQQ,582,0.008219,0.4485,0.9704,Put,88
QQQ,583,0.008219,0.4452,0.9721,Put,241
QQQ,584,0.008219,0.4416,0.9737,Put,426
QQQ,585,0.008219,0.4383,0.9754,Put,4105
QQQ,586,0.008219,0.4346,0.9771,Put,1543
QQQ,587,0.008219,0.4312,0.9787,Put,402
QQQ,588,0.008219,0.4273,0.9804,Put,1234
QQQ,589,0.008219,0.4234,0.9821,Put,456
QQQ,590,0.008219,0.4193,0.9837,Put,4111
QQQ,591,0.008219,0.4151,0.9854,Put,1737
QQQ,592,0.008219,0.4112,0.9871,Put,749
QQQ,593,0.008219,0.4065,0.9887,Put,1629
QQQ,594,0.008219,0.4024,0.9904,Put,561
QQQ,595,0.008219,0.3978,0.9921,Put,2341
QQQ,596,0.008219,0.3933,0.9937,Put,370
QQQ,597,0.008219,0.3888,0.9954,Put,10673
QQQ,598,0.008219,0.3842,0.9971,Put,482
QQQ,599,0.008219,0.3794,0.9987,Put,614
QQQ,600,0.008219,0.3657,1.0004,Put,5130
QQQ,601,0.008219,0.3721,1.0021,Put,308
QQQ,602,0.008219,0.3811,1.0038,Put,501
QQQ,603,0.008219,0.3660,1.0054,Put,1097
QQQ,604,0.008219,0.3587,1.0071,Put,3553
QQQ,605,0.008219,0.3579,1.0088,Put,1821
QQQ,606,0.008219,0.3489,1.0104,Put,346
QQQ,607,0.008219,0.3418,1.0121,Put,435
QQQ,608,0.008219,0.3375,1.0138,Put,275
QQQ,609,0.008219,0.3335,1.0154,Put,141
QQQ,610,0.008219,0.3386,1.0171,Put,243
QQQ,611,0.008219,0.3286,1.0188,Put,85
QQQ,615,0.008219,0.3157,1.0254,Put,43
QQQ,616,0.008219,0.3014,1.0271,Put,6
QQQ,620,0.008219,0.3065,1.0338,Put,4
QQQ,622,0.008219,0.3103,1.0371,Put,120
QQQ,625,0.008219,0.2510,1.0421,Put,3
QQQ,627,0.008219,0.3517,1.0454,Put,4
QQQ,629,0.008219,0.3626,1.0488,Put,3
QQQ,630,0.008219,0.3693,1.0504,Put,2
