Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
SPY,595,0.008219,0.4696,0.8849,Call,1
SPY,605,0.008219,0.4908,0.8998,Call,1
SPY,655,0.008219,0.3718,0.9742,Call,1
SPY,660,0.008219,0.3582,0.9816,Call,17
SPY,665,0.008219,0.3423,0.9890,Call,2202
SPY,670,0.008219,0.3231,0.9965,Call,3105
SPY,675,0.008219,0.3024,1.0039,Call,12916
SPY,677,0.008219,0.2934,1.0069,Call,3833
SPY,679,0.008219,0.2834,1.0098,Call,2305
SPY,680,0.008219,0.2781,1.0113,Call,5395
SPY,681,0.008219,0.2725,1.0128,Call,1726
SPY,682,0.008219,0.2669,1.0143,Call,2017
SPY,683,0.008219,0.2612,1.0158,Call,2152
SPY,684,0.008219,0.2552,1.0173,Call,1340
SPY,685,0.008219,0.2491,1.0188,Call,3695
SPY,686,0.008219,0.2427,1.0203,Call,3683
SPY,687,0.008219,0.2364,1.0217,Call,2187
SPY,688,0.008219,0.2301,1.0232,Call,2125
SPY,689,0.008219,0.2237,1.0247,Call,2768
SPY,690,0.008219,0.2172,1.0262,Call,7652
SPY,691,0.008219,0.2114,1.0277,Call,3737
SPY,692,0.008219,0.2049,1.0292,Call,1974
SPY,693,0.008219,0.1993,1.0307,Call,4378
SPY,694,0.008219,0.1936,1.0322,Call,814
SPY,695,0.008219,0.1897,1.0336,Call,1902
SPY,696,0.008219,0.1854,1.0351,Call,968
SPY,697,0.008219,0.1809,1.0366,Call,1247
SPY,698,0.008219,0.1799,1.0381,Call,1166
SPY,699,0.008219,0.1767,1.0396,Call,621
SPY,700,0.008219,0.1740,1.0411,Call,6425
SPY,701,0.008219,0.1740,1.0426,Call,365
SPY,702,0.008219,0.1793,1.0441,Call,1008
SPY,704,0.008219,0.1899,1.0470,Call,426
SPY,555,0.008219,0.8770,0.8254,Put,93
SPY,560,0.008219,0.8484,0.8329,Put,21
SPY,570,0.008219,0.7954,0.8477,Put,327
SPY,575,0.008219,0.7699,0.8552,Put,125
SPY,590,0.008219,0.6870,0.8775,Put,197
SPY,600,0.008219,0.6310,0.8924,Put,457
SPY,605,0.008219,0.6036,0.8998,Put,143
SPY,610,0.008219,0.5755,0.9072,Put,279
SPY,615,0.008219,0.5465,0.9147,Put,355
SPY,620,0.008219,0.5204,0.9221,Put,605
SPY,625,0.008219,0.4961,0.9295,Put,1116
SPY,630,0.008219,0.4734,0.9370,Put,1955
SPY,635,0.008219,0.4538,0.9444,Put,992
SPY,640,0.008219,0.4344,0.9518,Put,2591
SPY,645,0.008219,0.4168,0.9593,Put,2165
SPY,650,0.008219,0.4006,0.9667,Put,16715
SPY,651,0.008219,0.3973,0.9682,Put,291
SPY,652,0.008219,0.3941,0.9697,Put,732
SPY,653,0.008219,0.3910,0.9712,Put,1719
SPY,654,0.008219,0.3880,0.9727,Put,1144
SPY,655,0.008219,0.3847,0.9742,Put,1887
SPY,656,0.008219,0.3815,0.9756,Put,1055
SPY,657,0.008219,0.3783,0.9771,Put,687
SPY,658,0.008219,0.3750,0.9786,Put,992
SPY,659,0.008219,0.3717,0.9801,Put,746
SPY,660,0.008219,0.3686,0.9816,Put,2200
SPY,661,0.008219,0.3653,0.9831,Put,1086
SPY,662,0.008219,0.3620,0.9846,Put,1334
SPY,663,0.008219,0.3584,0.9860,Put,932
SPY,664,0.008219,0.3550,0.9875,Put,970
SPY,665,0.008219,0.3517,0.9890,Put,2068
SPY,666,0.008219,0.3483,0.9905,Put,1931
SPY,667,0.008219,0.3448,0.9920,Put,943
SPY,668,0.008219,0.3408,0.9935,Put,4237
SPY,669,0.008219,0.3372,0.9950,Put,1637
SPY,670,0.008219,0.3333,0.9965,Put,5923
SPY,671,0.008219,0.3294,0.9979,Put,2525
SPY,672,0.008219,0.3254,0.9994,Put,1917
SPY,673,0.008219,0.3214,1.0009,Put,2846
SPY,674,0.008219,0.3171,1.0024,Put,4586
SPY,675,0.008219,0.3116,1.0039,Put,4336
SPY,676,0.008219,0.3077,1.0054,Put,1347
SPY,677,0.008219,0.3034,1.0069,Put,765
SPY,678,0.008219,0.2984,1.0084,Put,503
SPY,679,0.008219,0.2916,1.0098,Put,327
SPY,680,0.008219,0.2908,1.0113,Put,775
SPY,681,0.008219,0.2840,1.0128,Put,151
SPY,682,0.008219,0.2812,1.0143,Put,68
SPY,683,0.008219,0.2736,1.0158,Put,114
SPY,684,0.008219,0.2685,1.0173,Put,77
SPY,685,0.008219,0.2636,1.0188,Put,279
SPY,686,0.008219,0.2576,1.0203,Put,153
SPY,687,0.008219,0.2548,1.0217,Put,12
SPY,688,0.008219,0.2474,1.0232,Put,3
SPY,689,0.008219,0.2421,1.0247,Put,3
SPY,690,0.008219,0.2444,1.0262,Put,94
SPY,691,0.008219,0.2363,1.0277,Put,25
SPY,692,0.008219,0.2408,1.0292,Put,12
SPY,695,0.008219,0.2304,1.0336,Put,79
SPY,698,0.008219,0.2605,1.0381,Put,17
SPY,699,0.008219,0.2684,1.0396,Put,17
SPY,700,0.008219,0.2838,1.0411,Put,4
SPY,704,0.008219,0.3153,1.0470,Put,10
SPY,705,0.008219,0.3231,1.0485,Put,10
SPY,715,0.008219,0.3984,1.0634,Put,0
