Symbol,Strike,TimeToExpiry,ImpliedVol,Moneyness,OptionType,Volume
TLT,78,0.013699,0.6344,0.8818,Call,0
TLT,80,0.013699,0.5278,0.9044,Call,5
TLT,81.5,0.013699,0.4685,0.9213,Call,3
TLT,82,0.013699,0.4409,0.9270,Call,45
TLT,82.5,0.013699,0.4132,0.9326,Call,30
TLT,83,0.013699,0.3853,0.9383,Call,40
TLT,83.5,0.013699,0.3573,0.9439,Call,265
TLT,84,0.013699,0.3291,0.9496,Call,225
TLT,84.5,0.013699,0.3005,0.9552,Call,50
TLT,85,0.013699,0.2716,0.9609,Call,4
TLT,85.5,0.013699,0.2548,0.9665,Call,8
TLT,86,0.013699,0.2284,0.9722,Call,1
TLT,86.5,0.013699,0.2081,0.9778,Call,64
TLT,87,0.013699,0.1062,0.9835,Call,22
TLT,87.5,0.013699,0.1719,0.9891,Call,172
TLT,88,0.013699,0.1622,0.9948,Call,588
TLT,88.5,0.013699,0.1573,1.0005,Call,24394
TLT,89,0.013699,0.1523,1.0061,Call,30872
TLT,89.5,0.013699,0.1523,1.0118,Call,9423
TLT,90,0.013699,0.1537,1.0174,Call,5679
TLT,90.5,0.013699,0.1611,1.0231,Call,3505
TLT,91,0.013699,0.1718,1.0287,Call,3678
TLT,91.5,0.013699,0.1862,1.0344,Call,444
TLT,92,0.013699,0.2010,1.0400,Call,2989
TLT,92.5,0.013699,0.2182,1.0457,Call,264
TLT,93,0.013699,0.2274,1.0513,Call,712
TLT,94,0.013699,0.2507,1.0626,Call,139
TLT,82,0.013699,0.2986,0.9270,Put,697
TLT,83,0.013699,0.3723,0.9383,Put,155
TLT,83.5,0.013699,0.2470,0.9439,Put,171
TLT,84,0.013699,0.2338,0.9496,Put,3179
TLT,84.5,0.013699,0.2183,0.9552,Put,3093
TLT,85,0.013699,0.2009,0.9609,Put,2888
TLT,85.5,0.013699,0.1947,0.9665,Put,1055
TLT,86,0.013699,0.1757,0.9722,Put,2184
TLT,86.5,0.013699,0.1596,0.9778,Put,148
TLT,87,0.013699,0.1514,0.9835,Put,793
TLT,87.5,0.013699,0.1437,0.9891,Put,1977
TLT,88,0.013699,0.1352,0.9948,Put,1781
TLT,88.5,0.013699,0.1296,1.0005,Put,1981
TLT,89,0.013699,0.1245,1.0061,Put,449
TLT,89.5,0.013699,0.1270,1.0118,Put,626
TLT,90,0.013699,0.1216,1.0174,Put,33
TLT,90.5,0.013699,0.1165,1.0231,Put,30
